Bitcoin,BTC,"$28,339.11",https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,"$1,861.31",https://coinmarketcap.com/currencies/ethereum/
Tether,USDT,$1.00,https://coinmarketcap.com/currencies/tether/
BNB,BNB,$313.28,https://coinmarketcap.com/currencies/bnb/
USD Coin,USDC,$0.9999,https://coinmarketcap.com/currencies/usd-coin/
XRP,XRP,$0.5064,https://coinmarketcap.com/currencies/xrp/
Cardano,ADA,$0.388,https://coinmarketcap.com/currencies/cardano/
Dogecoin,DOGE,$0.08303,https://coinmarketcap.com/currencies/dogecoin/
Polygon,MATIC,$1.10,https://coinmarketcap.com/currencies/polygon/
Solana,SOL,$20.30,https://coinmarketcap.com/currencies/solana/
Polkadot,DOT,$6.18,https://coinmarketcap.com/currencies/polkadot-new/
Binance USD,BUSD,$1.00,https://coinmarketcap.com/currencies/binance-usd/
Litecoin,LTC,$90.67,https://coinmarketcap.com/currencies/litecoin/
Shiba Inu,SHIB,$0.00,https://coinmarketcap.com/currencies/shiba-inu/
TRON,TRX,$0.07,https://coinmarketcap.com/currencies/tron/
Avalanche,AVAX,$17.60,https://coinmarketcap.com/currencies/avalanche/
Dai,DAI,$1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/
Wrapped Bitcoin,WBTC,$28357.82,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Chainlink,LINK,$7.24,https://coinmarketcap.com/currencies/chainlink/
Uniswap,UNI,$5.87,https://coinmarketcap.com/currencies/uniswap/
UNUS SED LEO,LEO,$3.37,https://coinmarketcap.com/currencies/unus-sed-leo/
Cosmos,ATOM,$11.08,https://coinmarketcap.com/currencies/cosmos/
Monero,XMR,$160.32,https://coinmarketcap.com/currencies/monero/
Ethereum Classic,ETC,$20.50,https://coinmarketcap.com/currencies/ethereum-classic/
Stellar,XLM,$0.10,https://coinmarketcap.com/currencies/stellar/
Toncoin,TON,$2.21,https://coinmarketcap.com/currencies/toncoin/
OKB,OKB,$41.47,https://coinmarketcap.com/currencies/okb/
Bitcoin Cash,BCH,$125.62,https://coinmarketcap.com/currencies/bitcoin-cash/
Filecoin,FIL,$5.70,https://coinmarketcap.com/currencies/filecoin/
TrueUSD,TUSD,$1.00,https://coinmarketcap.com/currencies/trueusd/
Lido DAO,LDO,$2.40,https://coinmarketcap.com/currencies/lido-dao/
Hedera,HBAR,$0.07,https://coinmarketcap.com/currencies/hedera/
Aptos,APT,$11.03,https://coinmarketcap.com/currencies/aptos/
VeChain,VET,$0.02,https://coinmarketcap.com/currencies/vechain/
NEAR Protocol,NEAR,$1.99,https://coinmarketcap.com/currencies/near-protocol/
Cronos,CRO,$0.07,https://coinmarketcap.com/currencies/cronos/
ApeCoin,APE,$4.21,https://coinmarketcap.com/currencies/apecoin-ape/
Algorand,ALGO,$0.21,https://coinmarketcap.com/currencies/algorand/
Internet Computer,ICP,$4.99,https://coinmarketcap.com/currencies/internet-computer/
Arbitrum,ARB,$1.17,https://coinmarketcap.com/currencies/arbitrum/
Quant,QNT,$121.30,https://coinmarketcap.com/currencies/quant/
EOS,EOS,$1.21,https://coinmarketcap.com/currencies/eos/
The Graph,GRT,$0.14,https://coinmarketcap.com/currencies/the-graph/
Fantom,FTM,$0.45,https://coinmarketcap.com/currencies/fantom/
Stacks,STX,$0.84,https://coinmarketcap.com/currencies/stacks/
Decentraland,MANA,$0.60,https://coinmarketcap.com/currencies/decentraland/
BitDAO,BIT,$0.52,https://coinmarketcap.com/currencies/bitdao/
Aave,AAVE,$76.03,https://coinmarketcap.com/currencies/aave/
Theta Network,THETA,$1.05,https://coinmarketcap.com/currencies/theta-network/
Conflux,CFX,$0.37,https://coinmarketcap.com/currencies/conflux-network/
Tezos,XTZ,$1.11,https://coinmarketcap.com/currencies/tezos/
MultiversX,EGLD,$40.24,https://coinmarketcap.com/currencies/multiversx-egld/
Flow,FLOW,$0.98,https://coinmarketcap.com/currencies/flow/
Axie Infinity,AXS,$8.41,https://coinmarketcap.com/currencies/axie-infinity/
The Sandbox,SAND,$0.63,https://coinmarketcap.com/currencies/the-sandbox/
Immutable,IMX,$1.03,https://coinmarketcap.com/currencies/immutable-x/
Rocket Pool,RPL,$45.60,https://coinmarketcap.com/currencies/rocket-pool/
